Countries,rank,currency,salary_women,degree_women,degree_men,labor_force_women,labor_force_men,senior_officials_women,senior_officials_men,mps_women,mps_men,ministers_women,ministers_men
Peru,89,&#36;,,,,69.30000305,86.80000305,29.75871314,70.37533512,22.30769231,77.69230769,22.22222222,77.77777778
Philippines,7,&#36;,,56.83704,43.16296,52.70000076,81.40000153,57,43,27.24137931,72.75862069,20,80
Poland,51,&#36;,0.894,65.97893,34.02107,60.29999924,73.90000153,38.80762635,61.19237365,24.13043478,75.86956522,27.77777778,72.22222222
Portugal,39,&#128;,0.837,59.78475,40.21525,70.09999847,77.09999847,35.1425943,64.8574057,31.30434783,68.69565217,28.57142857,71.42857143
Qatar,122,&#36;,,60.77058,39.22942,51.79999924,95.90000153,12.22493888,87.77506112,0,100,5,95
Romania,77,&#128;,,61.59132,38.40868,56.90000153,72.59999847,31.64196123,68.35803877,13.71571072,86.28428928,14.28571429,85.71428571
Russia,75,&#36;,,,,68.59999847,78.69999695,38.38678328,61.61321672,13.55555556,86.44444444,6.451612903,93.5483871
Rwanda,6,&#36;,,42.70314,57.29686,88,86.30000305,33.75,66.25,63.75,36.25,35.48387097,64.51612903
Saudi Arabia,134,&#36;,,51.05456,48.94544,21.29999924,79.90000153,6.790123457,93.18181818,19.86754967,80.13245033,0,100
Senegal,72,&#36;,,,,67.30000305,89.5,,,42.66666667,57.33333333,20,80
Serbia,45,&#36;,,58.43463,41.56537,53.5,69.30000305,31.44963145,68.55036855,34,66,22.22222222,77.77777778
Singapore,54,&#36;,,,,65.09999847,82.30000305,33.69565217,66.33295195,25.25252525,74.74747475,5.555555556,94.44444444
Slovakia,97,&#128;,0.859,63.58184,36.41816,62.20000076,77.5,30.00968054,69.99031946,18.66666667,81.33333333,0,100
Slovenia,9,&#128;,0.884,60.26898,39.73102,67.30000305,74.30000305,37.5,62.5,36.66666667,63.33333333,43.75,56.25
South Africa,17,&#36;,,59.83934,40.16066,48.90000153,63.79999924,30.21488684,69.77694256,41.91919192,58.08080808,41.66666667,58.33333333
South Korea,115,&#36;,0.634,,,55.5,76.09999847,11.04651163,88.95348837,16.33333333,83.66666667,5.882352941,94.11764706
